id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
44903,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Puma Men Blue Graphic T-shirt
37709,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Fila Men Black Top Fuel Sports Shoes
24533,Women,Apparel,Topwear,Kurtas,Pink,Fall,2011.0,Ethnic,Mother Earth Women Pink Printed Kurta
38533,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Puma Men White Future Cat Shoes
53377,Unisex,Accessories,Bags,Messenger Bag,Fluorescent Green,Fall,2014.0,Casual,Puma Unisex Fluorescent Green & Black Bolt LS Messenger Bag
29193,Women,Accessories,Bags,Handbags,Multi,Summer,2012.0,Casual,United Colors of Benetton Women Multi Coloured Handbag
26116,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,John Miller Men Striped Blue Shirt
48401,Men,Apparel,Topwear,Tshirts,Cream,Summer,2012.0,Casual,French Connection Men Cream T-shirt
24841,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2015.0,Casual,Wildcraft Women Yellow Printed T-shirt
5421,Boys,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Ant Kids Boy's Love This Game White Kidswear
31694,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Folklore Women Printed Green Kurta
26988,Women,Apparel,Bottomwear,Jeggings,Blue,Fall,2012.0,Casual,Jealous 21 Women Blue Jeggings
15703,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Spykar Men Check White Shirts
45578,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Arrow Men Brown Sandals
26902,Women,Apparel,Topwear,Tops,Lavender,Summer,2012.0,Casual,Jealous 21 Women Printed Lavender Top
35657,Men,Footwear,Shoes,Formal Shoes,Brown,Summer,2013.0,Casual,U.S. Polo Assn. Men Brown Shoes
28933,Men,Apparel,Topwear,Tshirts,Teal,Summer,2012.0,Casual,Mr. Men Printed Teal T-shirt
7645,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Puma Men's Ducati Logo Black T-shirt
35786,Women,Footwear,Shoes,Flats,Blue,Summer,2010.0,Casual,Enroute Women Bluish Grey Shoes
47109,Boys,Footwear,Shoes,Casual Shoes,White,Fall,2012.0,Casual,Marvel Boys White Shoes
4524,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011.0,Sports,Puma Men's YugoRun Black White Shoe
4413,Men,Apparel,Topwear,Tshirts,Brown,Summer,2011.0,Casual,Nirvana Men's Wings Brown T-shirt
55622,Men,Footwear,Shoes,Formal Shoes,Brown,Summer,2012.0,Formal,Numero Uno Men Brown Formal Shoes
38239,Men,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Polaroid Men Sunglasses
25532,Men,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Wrangler Men Benefica Purple Shirt
57727,Women,Personal Care,Lips,Lip Gloss,Pink,Spring,2017.0,,Lotus Herbals Seduction Cranberry Punch Lip Gloss 30
34444,Women,Apparel,Topwear,Tshirts,Peach,Summer,2012.0,Casual,Myntra Women Peach Peace Love Chocolate T-shirt
41752,Boys,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Doodle Boys Printed Yellow T-shirt
52823,Women,Accessories,Jewellery,Earrings,Green,Summer,2012.0,Casual,Adrika Green Earrings
42902,Women,Accessories,Belts,Belts,Blue,Summer,2012.0,Casual,French Connection Women Blue Belt
12107,Women,Apparel,Topwear,Kurtis,Cream,Fall,2011.0,Ethnic,W Women Cream Kurtis
26546,Men,Footwear,Sandal,Sandals,Black,Fall,2012.0,Casual,ID Men Black & Red Sandals
8558,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Basics Men Black T-shirt
17309,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Pepe Jeans Men Casual Sunglasses
17322,Men,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Pepe Jeans Men Casual Sunglasses
39871,Women,Footwear,Shoes,Heels,Blue,Winter,2012.0,Casual,Catwalk Women Blue Flats
34735,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Puma Men Faas Steady Power Black Sports Shoes
43792,Women,Accessories,Jewellery,Earrings,Gold,Summer,2012.0,Ethnic,Royal Diadem Gold & Pink Earrings
53762,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Puma Men Navy Blue and Red T-shirt
25887,Unisex,Accessories,Bags,Backpacks,Brown,Winter,2015.0,Travel,American Tourister Unisex Brown Wanderer Backpack
29675,Men,Apparel,Topwear,Shirts,Black,Summer,2012.0,Formal,Indigo Nation Men Black Shirt
34161,Girls,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Gini and Jony Girls Black Top
53532,Women,Apparel,Innerwear,Briefs,White,Summer,2017.0,Casual,Amante Women White Briefs PCLR02
25487,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Air Dictate  White Sports Shoes
19244,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Puma Men Printed Green T-shirt
53872,Women,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Puma Women Speeder Ind White Sports Shoes
37776,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,John Players Men Yellow & White Striped Shirt
51388,Men,Apparel,Innerwear,Boxers,Grey,Summer,2012.0,Casual,Myntra Grey Printed Boxers
58449,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fossil Men Black Dial Chronograph Watch FS4658
7544,Women,Apparel,Bottomwear,Capris,Grey,Summer,2011.0,Sports,Nike Women Classic Grey Capri
40624,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,Span Women Brown Kurta
51158,Men,Accessories,Socks,Socks,Brown,Summer,2016.0,Casual,Raymond Men Brown Socks
16221,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Sports,Puma Men Heroes Black Track Pant
39735,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2012.0,Casual,Arrow Men Navy Blue Shoes
8937,Men,Apparel,Bottomwear,Trousers,Brown,Summer,2011.0,Formal,Scullers Men Scul Brown Trousers
12630,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Probase Men Printed Blue Tshirts
29300,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Wrangler Men Grey Polo T-shirt
22053,Women,Apparel,Topwear,Kurtas,Purple,Fall,2011.0,Ethnic,Vishudh Women Printed Purple Kurta
21986,Women,Accessories,Bags,Handbags,Purple,Winter,2015.0,Casual,Murcia Women Purple Casual Handbag
31903,Women,Apparel,Innerwear,Briefs,White,Summer,2015.0,Casual,Hear 2 Heart Women White Briefs H2H-3-2011
5127,Women,Apparel,Topwear,Shirts,Red,Summer,2011.0,Casual,Wrangler Women Holly Checks Shirt
16164,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Enroute Men Leather Brown Sandals
48948,Men,Accessories,Jewellery,Ring,Steel,Summer,2013.0,Casual,Revv Men Steel Ring
54475,Women,Accessories,Bags,Handbags,Blue,Summer,2012.0,Casual,Baggit Women Blue Small Handbag
12915,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Spykar Men Back Print Grey T-Shirts
50164,Women,Footwear,Shoes,Heels,White,Winter,2012.0,Casual,Rocia Women White Wedges
57588,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,Casual,Lotus Herbals Cinnamon Lipstick 165
11772,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Lee Men Black Printed T-shirt
12094,Women,Apparel,Topwear,Kurtas,White,Fall,2011.0,Ethnic,W Women Printed White Kurtas
13403,Men,Apparel,Topwear,Shirts,Red,Summer,2011.0,Casual,United Colors of Benetton Men Check Red Shirts
8681,Unisex,Accessories,Eyewear,Sunglasses,Blue,Winter,2016.0,Casual,Fastrack Unisex Sunglasses
34424,Men,Apparel,Topwear,Tshirts,Orange,Summer,2012.0,Casual,Myntra Men Green Planet Orange T-shirt
7698,Women,Apparel,Topwear,Tops,Purple,Fall,2011.0,Casual,Jealous 21 Women's She's Got Attitude Purple Top
3517,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Myntra Men's Not Tonight Ladies Yellow T-shirt
47172,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Ganuchi Men Black Sandals
31672,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Spykar Men Blue Jeans
59367,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,Vishudh Women Brown & Yellow Kurta
56795,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2010.0,Casual,Horsefly Men Blue Jeans
54600,Men,Apparel,Innerwear,Briefs,Black,Summer,2016.0,Casual,Jockey ELANCE Men Black Briefs 1004
20218,Men,Apparel,Topwear,Sweaters,Charcoal,Fall,2011.0,Casual,Wrangler Men Rib Charcoal Sweater
25599,Women,Apparel,Apparel Set,Kurta Sets,Grey,Fall,2011.0,Ethnic,Vishudh Women Grey & Black Churidar Kurta with Dupatta
41958,Boys,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Gini and Jony Boys Surfs Up Grey T-shirt
10628,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Winter,2012.0,Casual,Carlton London Men CL Casual Navy Blue Casual Shoes
40302,Unisex,Footwear,Sandal,Sandals,Silver,Winter,2013.0,Casual,Warner Bros Kids Unisex blue navy sandals
26781,Men,Personal Care,Fragrance,Deodorant,Blue,Spring,2017.0,Casual,Reebok Men Pack of 3 Deos
9988,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,Nike Men As Rafa Ace T Blue T-Shirts
40533,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Titan Women White Dial Watch
5911,Women,Footwear,Shoes,Casual Shoes,White,Summer,2011.0,Casual,ADIDAS Women's Daily Vulc White Shoe
4907,Women,Apparel,Topwear,Tops,Green,Summer,2011.0,Casual,Palm Tree Girl's Linnea White Green Kidswear
46766,Women,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,2017.0,Casual,Valentino Perfumes Women 75 ml Classic Perfume
2327,Men,Apparel,Topwear,Tshirts,White,Fall,2009.0,Casual,Reebok Men Football Fanatic White T-shirt
8857,Men,Apparel,Topwear,Shirts,Orange,Fall,2011.0,Casual,Mark Taylor Men Orange Striped Shirt
46121,Women,Apparel,Topwear,Jackets,Black,Summer,2015.0,Casual,Wildcraft Women Black Jacket
4483,Men,Footwear,Shoes,Casual Shoes,Silver,Summer,2011.0,Casual,Puma Men's Kraftek Metallic Silver Red Shoe
4122,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Puma Unisex Lo Punk Black Yellow Shoe
17312,Women,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Pepe Jeans Women Casual Sunglasses
29933,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Police Women Silver-Toned Dial Watch PL12896BS
38150,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Wildcraft Women Purple T-shirt
48203,Unisex,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,United Colors of Benetton Unisex Black Sunglasses
56078,Women,Personal Care,Lips,Lip Gloss,Pink,Spring,2017.0,Casual,Colorbar Star Shine Bewitch Lip Gloss 018
4051,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Myntra Men's Eagle Emblem Yellow T-shirt
6834,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Orange,Summer,2011.0,,Timberland Unisex Max 2 Shine Neutr Shoe Accessories
53398,Women,Apparel,Topwear,Kurtas,Maroon,Fall,2012.0,Ethnic,Alma Women Maroon Printed Kurta
46811,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Nike Men Black T-shirt
42863,Women,Accessories,Bags,Clutches,Brown,Summer,2012.0,Casual,
48063,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,French Connection Men White Striped Shirt
10725,Women,Accessories,Bags,Handbags,Green,Winter,2015.0,Casual,Murcia Women Green Green Handbags
31999,Men,Accessories,Socks,Socks,Cream,Summer,2016.0,Formal,Playboy Men Cream Socks
13578,Men,Apparel,Innerwear,Innerwear Vests,Red,Summer,2016.0,Casual,Hanes Men Pack of 2 Half Contrast Piping Ringer T-shirts
39302,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018.0,Casual,Red Chief Men Brown Casual Shoes
54635,Men,Accessories,Watches,Watches,Grey,Winter,2016.0,Casual,Fastrack Men Grey Dial Watch
2724,Boys,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Disney Kids Boy's White Red Kidswear
41397,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Wrangler Men Blue Check Shirt
58107,Women,Accessories,Jewellery,Earrings,Gold,Fall,2012.0,Casual,Rreverie Golden Earrings
25220,Women,Accessories,Bags,Handbags,Purple,Winter,2015.0,Casual,Lino Perros Women Leatherette Purple Handbag
47649,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2012.0,Casual,Carlton London Men Brown Shoes
32113,Men,Apparel,Innerwear,Briefs,Red,Summer,2016.0,Casual,Playboy Men Rap Red Briefs
51577,Men,Accessories,Watches,Watches,Red,Winter,2016.0,Casual,Fastrack Men Red Dial Watch
4977,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2011.0,Casual,Gini and Jony Boy's Kang Jeans Infant Kidswear
22912,Women,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Puma Women Future Cat Remix Black Shoes
34355,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Myntra Men Blue Jazzy Move Printed T-shirt
15849,Unisex,Footwear,Flip Flops,Flip Flops,Red,Fall,2011.0,Casual,Warner Bros Kids Unisex SD Safari Flop Red Slippers
32345,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Q&Q Men Black Dial Watch
50287,Men,Accessories,Ties,Ties,Grey,Summer,2012.0,Formal,Parx Men Grey Tie
28197,Men,Accessories,Eyewear,Sunglasses,Copper,Winter,2016.0,Casual,Ray-Ban Men Caravan Copper Sunglasses
8503,Unisex,Accessories,Socks,Socks,White,Summer,2011.0,Sports,Nike Unisex China Swsh Ct White Socks
51294,Boys,Accessories,Eyewear,Sunglasses,Black,Fall,2012.0,Casual,Hop Scotch Boys Black Sunglasses
44566,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Coolers Men Brown Sandals
55619,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012.0,Formal,Numero Uno Men Black Formal Shoes
15029,Women,Apparel,Topwear,Sweatshirts,Purple,Fall,2011.0,Casual,ADIDAS Women Stripes Purple Sweatshirts
32472,Unisex,Accessories,Socks,Socks,White,Summer,2012.0,Sports,ADIDAS Unisex White Socks
4089,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Classic Polo Men's White With Orange Black Stripe T-shirt
36414,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Spinn Men Abzorb X Black Shoes
52449,Women,Apparel,Loungewear and Nightwear,Nightdress,White,Summer,2017.0,Casual,Red Rose White Nightdress
12138,Women,Apparel,Topwear,Kurtas,Green,Fall,2011.0,Ethnic,Aurelia Women Solid Green Kurtas
17058,Women,Accessories,Belts,Belts,Black,Winter,2015.0,Casual,Lino Perros Women Graphic Black Belt
20775,Women,Footwear,Shoes,Heels,Silver,Winter,2012.0,Casual,Carlton London Women Classy Silver Heels
18962,Women,Apparel,Topwear,Sweatshirts,Pink,Fall,2011.0,Casual,United Colors of Benetton Women Printed Pink Sweatshirt
59404,Women,Apparel,Topwear,Tops,Blue,Fall,2012.0,Casual,Tokyo Talkies Women Blue Top
26043,Men,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Formal,John Miller Men Grey Shirt
48444,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,French Connection Men Black T-shirt
5396,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Artengo Artengo Bad 414 I Man
28640,Men,Apparel,Bottomwear,Shorts,Black,Summer,2012.0,Sports,Nike Men Victor Woven Black Shorts
38212,Men,Accessories,Eyewear,Sunglasses,Steel,Winter,2016.0,Casual,Polaroid Men Sunglasses
44644,Women,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Arrow Woman Black Top
20028,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,United Colors of Benetton Men Solid Grey Shirt
39316,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Gini and Jony Boys Printed White T-shirt
4226,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Probase Men's Last Week Grey T-shirt
55973,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,Casual,ColorBar Velvet Matte High Tea 1 Lipstick 77V
7971,Men,Footwear,Sandal,Sports Sandals,Grey,Winter,2012.0,Casual,Fila Men Grey & Black Aqua Grippare Sports Sandals
20276,Women,Footwear,Shoes,Heels,Beige,Winter,2015.0,Casual,Catwalk Women Casual Beige Flats
9486,Unisex,Accessories,Bags,Backpacks,Black,Winter,2011.0,Casual,Puma Unisex Big Cat Black Backpacks
4238,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Probase Men's Big Sound Grey T-shirt
5248,Women,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Reebok Women Easytone Reenew White Red Shoe
46099,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,ADIDAS Men Black Streetvulc Shoes
19434,Men,Accessories,Headwear,Caps,Blue,Summer,2012.0,Casual,Quiksilver Men Blue Sting Ray Beanie Hat
38608,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Nike Men Grey T-shirt
59236,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Titan Men Silver Watch
16230,Men,Apparel,Bottomwear,Tracksuits,Grey,Fall,2011.0,Sports,Puma Men Tricot Graphic Grey Tracksuit
19304,Men,Footwear,Flip Flops,Flip Flops,Black,Winter,2015.0,Casual,Nike Black Benassi Swoosh     NSW  Flip Flops
11429,Women,Apparel,Topwear,Tops,Black,Fall,2011.0,Casual,United Colors of Benetton Women Black Light Winter Top
33637,Men,Free Items,Free Gifts,Free Gifts,White,Winter,2016.0,Casual,Timex Men White Dial Watch
51667,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,Louis Philippe Men Grey Sunglasses
16609,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011.0,Formal,Genesis Men Stripes Grey Trouser
57053,Women,Apparel,Dress,Dresses,Pink,Summer,2012.0,Casual,Elle Pink Vintage Dress
11167,Men,Apparel,Topwear,Shirts,Brown,Fall,2011.0,Formal,John Miller Men Solid Brown Shirts
39375,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Helix Women Silver Dial Watch
33513,Women,Footwear,Shoes,Heels,Black,Summer,2016.0,Casual,Cobblerz Women Black Peep Toes
34256,Men,Apparel,Bottomwear,Tracksuits,Black,Summer,2013.0,Sports,Proline Men Black Solid Tracksuits
14314,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,ADIDAS Men Solid White Jerseys
47259,Men,Apparel,Innerwear,Briefs,Grey Melange,Summer,2016.0,Casual,FCUK Underwear Men Grey Brief
